Time,SmoothedRTT
0.0,12.949
1.000101,16.675
2.000082,23.016
3.000114,14.063
4.000165,14.615
5.000093,13.621
6.000132,21.136
7.000106,36.239
8.000188,10.488
9.000221,15.569
10.000164,18.454
11.000131,16.198
12.000094,17.691
13.000101,14.83
14.000131,13.568
15.000533,7.333
16.000119,10.274
17.000113,14.718
18.000112,19.185
19.000102,15.899
20.000105,20.428
21.000135,13.682
22.000138,19.211
23.000102,22.714
24.00011,12.887
25.00021,14.061
26.000115,10.057
27.000082,11.798
28.000108,17.6
29.000118,15.306
30.000125,14.705
31.000098,2.728
32.000101,6.671
33.00025,11.276
34.000313,13.395
35.000084,12.536
36.000103,11.579
37.000095,12.124
38.000098,17.111
39.000111,13.713
40.00012,20.707
41.000087,12.667
42.00009,13.821
43.000171,13.794
44.0001,12.528
45.000101,14.593
46.000149,7.159
47.000109,10.213
48.000104,14.289
49.000114,19.375
50.00011,8.135
51.000108,13.82
52.000091,8.333
53.000103,15.354
54.000153,16.389
55.000152,17.635
56.000106,16.274
57.000097,14.565
58.000101,12.528
59.000099,18.56
60.000138,15.814
61.000105,15.204
62.000091,7.252
63.000145,24.116
64.000099,7.089
65.000083,7.303
66.000121,12.253
67.000181,9.411
68.000098,12.402
69.000102,13.35
70.000101,11.85
71.000211,14.082
72.000115,15.078
73.000111,9.732
74.000118,16.061
75.000295,14.306
76.000104,15.568
77.001756,12.845
78.000083,14.103
79.000184,19.264
80.00011,21.28
81.000079,12.624
82.000203,17.455
83.000132,7.776
84.000097,13.336
85.000086,15.042
86.000091,9.886
87.000104,10.976
88.000204,12.053
89.000226,7.744
90.000097,13.556
91.000857,17.34
92.000103,23.931
93.000319,59.65
94.000197,10.298
95.000092,15.082
96.00025,70.69
97.000166,6.881
98.000135,7.191
99.000097,8.419
100.000105,8.164
101.000166,14.842
102.000098,8.634
103.00011,14.042
104.000099,7.596
105.0001,13.641
106.0001,15.789
107.000124,9.959
108.000092,12.62
109.000149,12.082
110.000109,13.781
111.000097,12.244
112.000102,15.996
113.000098,11.434
114.000139,43.28
115.000101,10.712
116.00011,13.225
117.000103,7.887
118.00012,9.773
119.000089,7.569
