,Time,Throughput (Mbit/s)
0,0,0.057712
1,1,5.894896
2,2,24.11024
3,3,35.726992
4,4,46.7208
5,5,60.713968
6,6,71.823136
7,7,88.342688
8,8,64.509312
9,9,61.48688
10,10,70.219632
11,11,73.553536
12,12,74.268768
13,13,65.166864
14,14,67.912432
15,15,77.902608
16,16,69.412112
17,17,60.887008
18,18,66.378144
19,19,71.269408
20,20,70.496496
21,21,60.10256
22,22,69.15832
23,23,77.568064
24,24,75.96456
25,25,58.302944
26,26,45.025008
27,27,54.126912
28,28,72.030784
29,29,74.672528
30,30,76.65672
31,31,85.170288
32,32,28.909216
33,33,44.159808
34,34,95.783408
35,35,104.331584
36,36,107.584736
37,37,90.580672
38,38,93.545424
39,39,101.620624
40,40,106.76568
41,41,103.224128
42,42,98.367472
43,43,100.974608
44,44,98.782768
45,45,63.448
46,46,63.701792
47,47,63.747936
48,48,81.997888
49,49,89.784688
50,50,75.433904
51,51,72.492224
52,52,82.30936
53,53,78.340976
54,54,85.954736
55,55,89.17328
56,56,92.241856
57,57,63.032704
58,58,71.569344
59,59,90.465312
60,60,96.694752
61,61,103.59328
62,62,100.674672
63,63,68.131616
64,64,82.690048
65,65,31.4356
66,66,34.123488
67,67,57.403136
68,68,64.151696
69,69,63.782544
70,70,73.761184
71,71,78.006432
72,72,87.765888
73,73,83.416816
74,74,62.086752
75,75,68.962208
76,76,77.048944
77,77,79.875264
78,78,65.478336
79,79,64.174768
80,80,61.682992
81,81,61.383056
82,82,69.435184
83,83,76.1376
84,84,69.781264
85,85,79.679152
86,86,62.029072
87,87,65.074576
88,88,60.114096
89,89,68.650736
90,90,73.057488
91,91,86.300816
92,92,100.259376
93,93,97.502272
94,94,55.222832
95,95,55.19976
96,96,63.574896
97,97,65.166864
98,98,24.848544
99,99,43.156176
100,100,80.786608
101,101,99.371104
102,102,107.780848
103,103,119.536032
104,104,115.498432
105,105,110.826352
106,106,126.192304
107,107,114.125648
108,108,124.969488
109,109,131.902624
110,110,123.596704
111,111,123.066048
112,112,117.932528
113,113,112.775936
114,114,120.678096
115,115,136.309376
116,116,176.893024
117,117,132.421744
118,118,85.6548
